customer_id,order_id,order_date,revenue
1,6,2024-05-14,63.77
1,5,2024-08-16,59.59
1,4,2024-10-23,82.82
1,3,2025-05-15,89.92
1,2,2025-07-04,74.44
1,1,2025-09-08,94.66
2,11,2024-09-27,45.14
2,10,2024-11-04,44.1
2,9,2025-04-03,44.4
2,8,2025-04-13,30.21
2,7,2025-09-17,41.0
3,13,2024-07-17,31.93
3,12,2024-08-06,29.9
4,21,2024-06-02,39.21
4,20,2024-06-26,38.85
4,19,2024-08-24,26.19
4,18,2024-09-27,26.69
4,17,2024-11-22,34.18
4,16,2024-12-15,37.38
4,15,2025-01-10,31.57
4,14,2025-01-24,38.1
5,42,2024-09-29,134.43
5,41,2024-10-13,145.16
5,40,2024-12-10,131.23
5,39,2025-01-13,115.14
5,38,2025-01-26,129.64
5,37,2025-02-09,140.73
5,36,2025-03-11,124.66
5,35,2025-05-02,128.01
5,34,2025-05-24,143.4
5,33,2025-05-31,151.1
5,32,2025-06-01,124.38
5,31,2025-06-02,119.39
5,30,2025-06-04,150.74
5,29,2025-06-10,94.1
5,28,2025-06-21,139.78
5,27,2025-07-08,180.91
5,26,2025-08-13,161.39
5,25,2025-10-27,100.38
5,24,2025-11-24,136.52
5,23,2026-01-17,120.93
5,22,2026-02-20,161.53
6,44,2024-06-03,26.82
6,43,2024-06-24,27.59
7,55,2024-04-22,76.18
7,54,2024-05-26,88.61
7,53,2024-06-08,98.25
7,52,2024-06-23,83.43
7,51,2024-07-21,102.17
7,50,2024-08-22,93.61
7,49,2024-09-15,79.02
7,48,2024-10-10,80.52
7,47,2025-01-31,87.09
7,46,2025-02-27,67.37
7,45,2025-05-26,98.87
8,65,2024-04-07,53.2
8,64,2024-07-07,68.19
8,63,2024-09-11,49.46
8,62,2024-10-10,55.61
8,61,2024-10-24,51.78
8,60,2024-12-12,56.43
8,59,2025-02-12,63.39
8,58,2025-03-05,75.34
8,57,2025-05-03,47.47
8,56,2025-06-10,48.74
9,83,2024-08-23,77.3
9,82,2024-08-26,71.99
9,81,2024-10-19,73.33
9,80,2024-10-21,76.26
9,79,2024-11-24,76.82
9,78,2024-12-23,68.08
9,77,2025-02-18,89.02
9,76,2025-02-19,78.16
9,75,2025-04-02,81.27
9,74,2025-05-25,88.15
9,73,2025-05-26,76.43
9,72,2025-08-20,64.43
9,71,2025-09-10,86.83
9,70,2025-10-10,92.2
9,69,2025-11-18,52.07
9,68,2025-12-19,55.72
9,67,2025-12-26,80.78
9,66,2026-01-09,67.01
10,85,2025-07-19,66.55
10,84,2026-01-18,58.73
11,91,2024-12-22,84.04
11,90,2025-01-23,88.35
11,89,2025-03-05,83.66
11,88,2025-03-26,98.62
